depth,File #,SiO2,SiO2 Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Br,Br Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,I,I Err,Ba,Ba Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,,
1,67,25.8,0.652346193,0.802,0.0348,0.194,0.0038,0.0134,0.0086,0.0171,0.000662487,0.0211,0.000893806,3.3,0.004714045,0,0.0001,0.0037,0.000177169,0.0023,0.000195078,0.0052,0.000169967,0.0011,0.0003,0.0008,0.0003,0.0004,0,0.0055,0.0003,0.0241,0.0004,,,0.0131,0.0004,0,0.0006,0.0004,0.000285287,,,,,0,0.001,0,0.0006,0,0.0014,,,0,0.0006,0,0.0049,,,,,0.0451,0.0431,0,0.0087,0,0.0005,0.0002,0.0001,0,0.0006,,,,,,,0,0.001,0,0.0047,0,0.0001,0,0.0011,0,0.0015,0,0.0018,0,0.0009,,
2,68,22.4,0.652346193,0.727,0.0309,0.177,0.003,0.0119,0.008,0.0157,0.000662487,0.0227,0.000893806,3.51,0.004714045,0,0.0001,0.0036,0.000177169,0.003,0.000195078,0.0061,0.000169967,0.0008,0.0003,0.0008,0.0003,0.0005,0,0.0062,0.0003,0.0225,0.0004,,,0.0109,0.0003,0.0014,0.0006,0.0008,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0017,,,0,0.0006,0,0.0033,,,,,0.0306,0.0397,0,0.0082,0,0.0004,0.0002,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.0008,0,0.0011,0,0.0016,0,0.0008,,
3,69,21.8,0.652346193,0.631,0.0296,0.171,0.0029,0.0119,0.0086,0.0174,0.000662487,0.0284,0.000893806,4.13,0.004714045,0,0.0001,0.0048,0.000177169,0.0037,0.000195078,0.007,0.000169967,0.0009,0.0003,0.0008,0.0003,0.0007,0,0.0068,0.0003,0.0208,0.0004,,,0.011,0.0003,0,0.0006,0,0.000285287,,,,,0,0.0009,0,0.0006,0,0.0013,,,0,0.0006,0,0.0046,,,,,0.0514,0.0435,0,0.0088,0,0.0005,0.0002,0.0001,0,0.0006,,,,,,,0,0.001,0,0.0046,0,0.0001,0,0.0011,0,0.0012,0,0.0017,0,0.0009,,
4,70,20.4,0.652346193,0.604,0.0291,0.222,0.0027,0.0119,0.0088,0.0148,0.000662487,0.0257,0.000893806,4.24,0.004714045,0,0.0001,0.0039,0.000177169,0.0038,0.000195078,0.0071,0.000169967,0.0008,0.0003,0.0008,0.0003,0.001,0,0.007,0.0003,0.0195,0.0004,,,0.01,0.0003,0,0.0006,0.0004,0.000285287,,,0,0.001,0,0.0009,0,0.0006,0,0.0013,,,0,0.0008,0,0.0046,,,,,0.0242,0.0436,0,0.0091,0,0.0005,0.0001,0.0001,0,0.0006,,,,,,,0,0.001,0,0.0048,0,0.0001,0,0.0008,0,0.0012,0,0.0016,0,0.0009,,
5,71,16.6,0.652346193,0.595,0.0284,0.2,0.0022,0.0123,0.0078,0.0191,0.000662487,0.023,0.000893806,3.68,0.004714045,0,0.0001,0.0035,0.000177169,0.0037,0.000195078,0.006,0.000169967,0.0009,0.0003,0.0008,0.0003,0.0006,0,0.0061,0.0003,0.0213,0.0004,,,0.0117,0.0003,0.0006,0.0006,0.0011,0.000285287,,,,,0,0.0009,0,0.0005,0.0009,0.0012,,,0,0.0007,0,0.0043,,,,,0.0413,0.0388,0,0.0081,0,0.0005,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0046,0,0.0001,0,0.001,0,0.0012,0,0.0017,0,0.0008,,
6,72,21.2,0.652346193,0.617,0.0291,0.156,0.0028,0.0119,0.0081,0.0127,0.000662487,0.0233,0.000893806,3.51,0.004714045,0,0.0001,0.0034,0.000177169,0.0031,0.000195078,0.0065,0.000169967,0.0009,0.0003,0.0008,0.0003,0.0006,0,0.0059,0.0003,0.0224,0.0004,,,0.0119,0.0003,0,0.0006,0.0007,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0654,0.041,0,0.0083,0,0.0005,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0046,0,0.0001,0,0.001,0,0.0012,0,0.0016,0,0.0008,,
7,73,22.8,0.652346193,0.621,0.0293,0.157,0.0029,0.0174,0.0079,0.0164,0.000662487,0.0231,0.000893806,3.34,0.004714045,0,0.0001,0.0036,0.000177169,0.0026,0.000195078,0.006,0.000169967,0.0008,0.0003,0.0008,0.0003,0.0007,0,0.0059,0.0003,0.0215,0.0004,,,0.01,0.0003,0,0.0006,0.0008,0.000285287,,,,,0,0.0009,0,0.0008,0,0.0013,,,0,0.0006,0,0.0044,,,,,0.0358,0.0391,0,0.0079,0,0.0004,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.001,0,0.0012,0,0.0016,0,0.0008,,
8,74,20.3,0.652346193,0.592,0.029,0.205,0.0026,0.0119,0.0079,0.0101,0.000662487,0.0227,0.000893806,3.38,0.004714045,0,0.0001,0.003,0.000177169,0.0032,0.000195078,0.0058,0.000169967,0.0009,0.0003,0.0009,0.0003,0.0005,0,0.006,0.0003,0.0225,0.0004,,,0.0095,0.0003,0,0.0006,0.001,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0551,0.0398,0,0.008,0,0.0004,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.001,0.0021,0.0012,0,0.0016,0,0.0008,,
9,93,26.1,0.652346193,0.742,0.027,0.173,0.003,0.0198,0.0035,0.0223,0.000662487,0.0225,0.000893806,3.4,0.004714045,0,0.0001,0.0032,0.000177169,0.0034,0.000195078,0.0061,0.000169967,0.0011,0.0003,0.0008,0.0003,0.0007,0,0.0062,0.0003,0.0241,0.0003,,,0.0087,0.0003,0,0.0005,0,0.0004,,,,,0,0.0008,0,0.0005,0,0.0012,,,0,0.0006,0,0.0042,,,,,0.0427,0.0402,0,0.0117,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0008,0,0.0004,0,0,0,0.0009,0,0.001,0,0.0015,0,0.0007,,
10,75,21.9,0.652346193,0.62,0.0291,0.156,0.0028,0.0119,0.0077,0.0143,0.000662487,0.0203,0.000893806,3.3,0.004714045,0,0.0001,0.0035,0.000177169,0.0032,0.000195078,0.006,0.000169967,0.0008,0.0003,0.0008,0.0003,0.0005,0,0.0059,0.0003,0.0223,0.0004,,,0.009,0.0003,0,0.0006,0.0008,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0406,0.0385,0,0.0078,0,0.0004,0.0002,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.001,0,0.0012,0,0.0016,0,0.0008,,
11,94,29,0.652346193,0.742,0.0267,0.195,0.0033,0.0198,0.0034,0.0136,0.000662487,0.0239,0.000893806,3.27,0.004714045,0,0.0001,0.003,0.000177169,0.0036,0.000195078,0.0059,0.000169967,0.0011,0.0003,0.0008,0.0003,0.0006,0,0.0065,0.0003,0.0241,0.0003,,,0.0084,0.0003,0,0.0005,0,0.0004,,,,,0,0.0008,0,0.0005,0,0.0012,,,0,0.0005,0,0.0041,,,,,0.0528,0.0387,0,0.0111,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0008,0,0.0004,0,0,0,0.0009,0,0.0012,0,0.0014,0,0.0007,,
12,77,22.6,0.652346193,0.651,0.0296,0.15,0.0028,0.0135,0.0077,0.0107,0.000662487,0.0207,0.000893806,3.18,0.004714045,0,0.0001,0.0031,0.000177169,0.003,0.000195078,0.0054,0.000169967,0.001,0.0003,0.0008,0.0003,0.0004,0,0.0059,0.0003,0.0235,0.0004,,,0.0097,0.0003,0,0.0006,0.0006,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0017,,,0,0.0006,0,0.0044,,,,,0.036,0.0385,0,0.0079,0,0.0004,0.0003,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0042,0,0.0001,0,0.001,0,0.0011,0,0.0016,0,0.0008,,
13,95,26.9,0.652346193,0.704,0.0264,0.162,0.0029,0.0198,0.0034,0.0107,0.000662487,0.0203,0.000893806,3.25,0.004714045,0,0.0001,0.0028,0.000177169,0.0033,0.000195078,0.0057,0.000169967,0.0007,0.0003,0.0008,0.0003,0.0005,0,0.006,0.0003,0.0241,0.0003,,,0.0108,0.0003,0,0.0005,0.0004,0.0004,,,,,0,0.0008,0,0.0005,0,0.0016,,,0,0.0005,0,0.0041,,,,,0.0309,0.0383,0,0.0113,0,0.0004,0.0002,0.0001,0,0.0005,,,,,,,0,0.0008,0,0.0004,0,0,0,0.0009,0,0.0012,0,0.0014,0,0.0007,,
14,78,23.9,0.652346193,0.658,0.0303,0.166,0.0031,0.013,0.0077,0.0126,0.000662487,0.0206,0.000893806,3.16,0.004714045,0,0.0001,0.0033,0.000177169,0.0029,0.000195078,0.0052,0.000169967,0.0003,0.0003,0.0009,0.0003,0.0004,0,0.0054,0.0003,0.024,0.0004,,,0.0103,0.0003,0,0.0006,0.0007,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0017,,,0,0.0006,0,0.0045,,,,,0.0541,0.0388,0,0.0077,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0043,0,0.0001,0,0.0008,0,0.0011,0,0.0017,0,0.0008,,
15,79,25.7,0.652346193,0.686,0.0305,0.149,0.0031,0.0128,0.0075,0.0109,0.000662487,0.0203,0.000893806,2.8,0.004714045,0,0.0001,0.0025,0.000177169,0.0028,0.000195078,0.0053,0.000169967,0.0005,0.0003,0.0009,0.0003,0.0003,0,0.0057,0.0003,0.025,0.0004,,,0.0102,0.0003,0,0.0006,0.0009,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0032,,,,,0.0423,0.0376,0,0.0074,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.0008,0,0.0011,0,0.0017,0,0.0008,,
16,80,25.6,0.652346193,0.645,0.03,0.157,0.0032,0.0119,0.008,0.0215,0.000662487,0.0197,0.000893806,3.01,0.004714045,0,0.0001,0.003,0.000177169,0.0029,0.000195078,0.0051,0.000169967,0.001,0.0003,0.0008,0.0003,0.0004,0,0.0062,0.0003,0.0246,0.0004,,,0.0113,0.0003,0,0.0006,0.0003,0.000285287,,,,,0,0.0009,0,0.0006,0,0.0018,,,0,0.0006,0,0.0046,,,,,0.0403,0.0402,0,0.0079,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.0011,0,0.0012,0,0.0018,0,0.0008,,
17,81,23.1,0.652346193,0.653,0.0299,0.143,0.0028,0.0131,0.0076,0.0159,0.000662487,0.0212,0.000893806,3.01,0.004714045,0,0.0001,0.0033,0.000177169,0.0029,0.000195078,0.0053,0.000169967,0.0006,0.0003,0.0008,0.0003,0.0005,0,0.0062,0.0003,0.0231,0.0004,,,0.0114,0.0003,0,0.0006,0.0007,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0275,0.0379,0,0.0077,0,0.0004,0.0002,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.001,0,0.0011,0,0.0016,0,0.0008,,
18,82,22.1,0.652346193,0.688,0.0305,0.158,0.0028,0.0119,0.0076,0.0104,0.000662487,0.0199,0.000893806,2.98,0.004714045,0,0.0001,0.0025,0.000177169,0.003,0.000195078,0.005,0.000169967,0.0007,0.0003,0.0008,0.0003,0.0004,0,0.0059,0.0003,0.0246,0.0004,,,0.0106,0.0003,0,0.0006,0.0008,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0469,0.0382,0,0.0077,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.001,0,0.0011,0,0.0016,0.0002,0.0008,,
19,83,23.2,0.652346193,0.739,0.0312,0.148,0.0029,0.0119,0.0077,0.0132,0.000662487,0.0169,0.000893806,2.62,0.004714045,0,0.0001,0.0023,0.000177169,0.0029,0.000195078,0.0045,0.000169967,0.001,0.0003,0.0008,0.0003,0.0003,0,0.0056,0.0003,0.0261,0.0004,,,0.01,0.0003,0.0001,0.0008,0.0001,0.000285287,,,,,0,0.0009,0,0.0006,0,0.0013,,,0,0.0006,0,0.0046,,,,,0.0304,0.0386,0,0.0077,0,0.0005,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0045,0,0.0001,0,0.001,0,0.0012,0,0.0017,0,0.0008,,
20,84,22.4,0.652346193,0.685,0.0304,0.142,0.0028,0.014,0.0075,0.0146,0.000662487,0.0193,0.000893806,2.79,0.004714045,0,0.0001,0.0029,0.000177169,0.0026,0.000195078,0.0047,0.000169967,0.0007,0.0003,0.0008,0.0003,0.0003,0,0.0055,0.0003,0.025,0.0004,,,0.0105,0.0003,0,0.0006,0.001,0.000285287,,,,,0,0.0009,0,0.0005,0.0005,0.0012,,,0,0.0006,0,0.0045,,,,,0.036,0.0375,0,0.0074,0,0.0004,0.0002,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.001,0,0.0013,0,0.0017,0,0.0008,,
21,85,23.5,0.652346193,0.642,0.0301,0.138,0.0029,0.0119,0.0075,0.0076,0.000662487,0.0167,0.000893806,2.8,0.004714045,0,0.0001,0.0022,0.000177169,0.0026,0.000195078,0.005,0.000169967,0.0008,0.0003,0.0009,0.0003,0.0004,0,0.0057,0.0003,0.0247,0.0004,,,0.0114,0.0003,0,0.0006,0.0009,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0017,,,0,0.0006,0,0.0044,,,,,0.0437,0.0375,0,0.0058,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.0008,0,0.0011,0,0.0017,0,0.0008,,
22,86,22,0.652346193,0.655,0.0301,0.147,0.0028,0.014,0.0076,0.0161,0.000662487,0.0211,0.000893806,3.02,0.004714045,0,0.0001,0.0027,0.000177169,0.0025,0.000195078,0.0052,0.000169967,0.0007,0.0003,0.0008,0.0003,0.0003,0,0.0054,0.0003,0.0234,0.0004,,,0.0102,0.0003,0,0.0006,0.0006,0.000285287,,,,,0,0.0009,0.0013,0.0005,0,0.0012,,,0,0.0006,0,0.0032,,,,,0.0455,0.0378,0,0.0077,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.001,0,0.0013,0,0.0016,0,0.0008,,
23,111,28.1,0.652346193,0.676,0.0262,0.165,0.0031,0.0198,0.0033,0.0151,0.000662487,0.0191,0.000893806,2.97,0.004714045,0,0.0001,0.0026,0.000177169,0.0029,0.000195078,0.0052,0.000169967,0.0009,0.0003,0.0008,0.0003,0.0006,0,0.0059,0.0003,0.026,0.0004,,,0.0073,0.0003,0,0.0005,0,0.0004,,,,,0,0.0008,0,0.0005,0,0.0016,,,0,0.0006,0,0.0041,,,,,0.0307,0.0381,0,0.011,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0008,0,0.0004,0,0,0,0.0009,0,0.001,0,0.0015,0,0.0007,,
24,87,28.9,0.652346193,0.629,0.0298,0.142,0.0033,0.0133,0.0073,0.0113,0.000662487,0.017,0.000893806,2.54,0.004714045,0,0.0001,0.0023,0.000177169,0.0026,0.000195078,0.0045,0.000169967,0.0008,0.0003,0.0008,0.0003,0.0003,0,0.0056,0.0003,0.0243,0.0004,,,0.0084,0.0003,0,0.0006,0.0006,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0044,,,,,0.0403,0.0365,0,0.0072,0,0.0004,0.0002,0.0001,0,0.0005,,,,,,,0,0.0009,0,0.0043,0,0.0001,0,0.001,0,0.0013,0,0.0017,0,0.0008,,
25,88,18.3,0.652346193,0.626,0.0296,0.2,0.0024,0.0141,0.0077,0.0103,0.000662487,0.0185,0.000893806,2.8,0.004714045,0,0.0001,0.0025,0.000177169,0.0025,0.000195078,0.0049,0.000169967,0.0007,0.0003,0.0008,0.0003,0.0002,0,0.0053,0.0003,0.0253,0.0004,,,0.0136,0.0003,0,0.0006,0.0007,0.000285287,,,,,0,0.0009,0,0.0005,0,0.0012,,,0,0.0006,0,0.0045,,,,,0.0202,0.0379,0,0.0076,0,0.0004,0.0001,0.0001,0,0.0006,,,,,,,0,0.0009,0,0.0044,0,0.0001,0,0.001,0,0.0011,0,0.0016,0,0.0008,,
26,,27.2,0.652346193,0.723,0.0267,0.178,0.003,0.0198,0.0034,0.0166,0.000662487,0.0213,0.000893806,3.13,0.004714045,0,0.0001,0.003,0.000177169,0.0031,0.000195078,0.0056,0.000169967,0.0008,0.0003,0.0009,0.0003,0.0005,0,0.0058,0.0003,0.0247,0.0003,,,0.0081,0.0003,0,0.0005,0,0.0004,,,,,0,0.0008,0,0.0005,0,0.0012,,,0,0.0006,0,0.0041,,,,,0.008,0.0381,0,0.0114,0,0.0004,0.0001,0.0001,0,0.0005,,,,,,,0,0.0008,0,0.0004,0,0,0,0.0009,0.0034,0.001,0,0.0014,0,0.0007,,
